projects,slice,psnr-rec-#0,psnr-rec-#1,psnr-rec-#2,psnr-rec-#3,psnr-rec-#4,psnr-rec-#5,psnr-rec-#6,psnr-rec-#7,psnr-rec-#8,psnr-rec-#9,psnr-rec-#10,psnr-rec-#11,psnr-rec-#12,psnr-rec-#13,psnr-rec-#14,psnr-rec-#15,ssim-rec-#0,ssim-rec-#1,ssim-rec-#2,ssim-rec-#3,ssim-rec-#4,ssim-rec-#5,ssim-rec-#6,ssim-rec-#7,ssim-rec-#8,ssim-rec-#9,ssim-rec-#10,ssim-rec-#11,ssim-rec-#12,ssim-rec-#13,ssim-rec-#14,ssim-rec-#15,mse-rec-#0,mse-rec-#1,mse-rec-#2,mse-rec-#3,mse-rec-#4,mse-rec-#5,mse-rec-#6,mse-rec-#7,mse-rec-#8,mse-rec-#9,mse-rec-#10,mse-rec-#11,mse-rec-#12,mse-rec-#13,mse-rec-#14,mse-rec-#15
mcMSE-af8-CGSENSE,0,22.20272495005084,20.898529084916735,20.538179857241197,20.777737602604955,21.145043247924175,21.522815824140302,20.181306332636968,21.6365343849729,18.954767655249412,20.878468344342643,20.28317126643698,21.23241779706076,20.809269845853905,20.346532475805887,19.384792024447105,19.45280100844356,0.7440631123289266,0.7239016831501177,0.7236725220684699,0.73684488184978,0.7546691228694726,0.7693089051678689,0.7344969919465631,0.7873152363716098,0.6936727408336892,0.7689522081461756,0.7524588373757382,0.7806774519627634,0.7678305748377281,0.7530599287724281,0.7208863000200072,0.731549057793287,6.161572855489794e-06,7.868961802159902e-06,8.059501851676032e-06,7.237148565764073e-06,6.337526883726241e-06,5.4900156101211905e-06,7.084969183779322e-06,4.81675670016557e-06,8.402766979997978e-06,5.067533038527472e-06,5.490915100381244e-06,4.208419341011904e-06,4.369386715552537e-06,4.569471911963774e-06,5.45451621292159e-06,5.091324055683799e-06
mcMSE-af8-CGSENSE,1,22.511028906527134,21.27927820736342,20.927405441828352,21.22938997720324,21.553589719396456,21.724065454449565,20.56762720254835,21.944334885558877,19.292623583685664,21.197570371161877,20.681076616151874,21.36054999458842,21.15597064019838,20.52369018223567,19.729161333105395,19.590083790217086,0.7511037412699447,0.729161811275853,0.7288783343285914,0.7415983776227505,0.7526697075948903,0.769003951933078,0.7349147607903538,0.7913995490820701,0.6929015264910503,0.7750021895697284,0.7532383042841032,0.78005129787545,0.7647837434200075,0.7457770306416037,0.7195243746954137,0.7291131410980064,5.739330390497344e-06,7.20846037438605e-06,7.3686101131897885e-06,6.522322109958623e-06,5.768530627392465e-06,5.241416147327982e-06,6.4819528233783785e-06,4.4871922000311315e-06,7.773860488669015e-06,4.7085418373171706e-06,5.01018985232804e-06,4.086070475750603e-06,4.0341346903005615e-06,4.386824002722278e-06,5.038708877691533e-06,4.932900992571376e-06
mcMSE-af8-CGSENSE,2,22.36933235946219,21.244622391594916,20.92960643944156,21.42633439465343,21.733327853442788,21.822059669763625,20.78536584483446,22.196964491008345,19.519784371767873,21.44616126369932,20.889926261983106,21.553450245380432,21.351921677446988,20.741723924098444,19.996206219366773,19.729533384351377,0.7464687137575008,0.7329399988790535,0.7297322635916459,0.7491687267662852,0.7566870143711024,0.7640565119463946,0.7385121804397431,0.7921677433922123,0.6964927019497459,0.7702523963361371,0.7516666334710014,0.7770363405957141,0.7603579404497146,0.7445501198827397,0.7179009592377223,0.7274749030391314,5.929674443905242e-06,7.266212378453929e-06,7.3648770921863616e-06,6.23315327175078e-06,5.534665433515329e-06,5.124473318574019e-06,6.164984370116144e-06,4.233618255966576e-06,7.377693691523746e-06,4.446592356543988e-06,4.7749545046826825e-06,3.908550752385054e-06,3.8561624933208805e-06,4.172024546278408e-06,4.738215920951916e-06,4.777024514623918e-06
mcMSE-af8-CGSENSE,3,22.576717666504514,21.57965318537553,21.298242310790158,21.80633808530168,22.052862348786057,21.98399717057949,21.129366281110215,22.295411968049624,19.77328094733777,21.561912307947043,21.16166248899394,21.715316504971447,21.610146240873505,20.89770840545489,20.168146141387954,19.857906527807796,0.745367849791942,0.7302195097478451,0.7314093708465281,0.7478323272162007,0.7583137405269695,0.7643607773336473,0.736730767866171,0.7888105369080738,0.6954892690833614,0.7628608222329747,0.7473822448221122,0.7714318705815049,0.7620887875499817,0.7403226243367973,0.7085997809637778,0.7209679020824139,5.653173957398394e-06,6.726745596097317e-06,6.765530997654423e-06,5.710938239644747e-06,5.14206931256922e-06,4.936912773700897e-06,5.695501386071555e-06,4.138728399993852e-06,6.9593870648532175e-06,4.329644070821814e-06,4.485342287807725e-06,3.765556357393507e-06,3.6335643471829826e-06,4.0248382902063895e-06,4.554291990643833e-06,4.63788728666259e-06
mcMSE-af8-CGSENSE,4,22.744604898144537,21.927998293948416,21.59769459128968,22.029881047812076,22.203496979251476,22.34637934996705,21.393399981507812,22.37215527510109,20.067809405951927,21.720635047872506,21.35202335914155,21.89253070670468,21.66159563612789,20.943989450310795,20.23407376325515,20.09408326241196,0.7392172131729738,0.7269405816829392,0.7292025512957228,0.7442413263045691,0.7533641702286688,0.7634242647927074,0.735207413561977,0.7788147189376261,0.6957926184386906,0.7598985190018811,0.7432040419861604,0.7652647189240258,0.7528517633257386,0.7312809001639178,0.7049846166460032,0.7168233995833909,5.438806510937866e-06,6.20826813246822e-06,6.314757229120005e-06,5.424417850008467e-06,4.966775122738909e-06,4.541687758319313e-06,5.359553142625373e-06,4.066236215294339e-06,6.503065833385335e-06,4.174264176981524e-06,4.2929864321195055e-06,3.6149951938568847e-06,3.5907728488382418e-06,3.982174803240923e-06,4.48567789135268e-06,4.3924064812017605e-06
mcMSE-af8-CGSENSE,5,22.864745255224427,21.99462846324362,21.66770078445717,22.029376162641338,22.245409906011236,22.50861646123788,21.485232717140057,22.439349170716607,20.197216930185622,21.832755165059098,21.477175102249184,21.999676463407827,21.74311895506591,21.084970994880482,20.339305499694657,20.30897861409219,0.7415114040281352,0.730603042961446,0.7309492690424232,0.7426910241331863,0.7555159250562313,0.7630620249964251,0.734152405451285,0.7816615964805224,0.6980839691646162,0.757133655850941,0.740799694450666,0.7640507902074484,0.745149460187971,0.7312677976641897,0.7032809112796288,0.7167956403096172,5.290413355396595e-06,6.113747076597065e-06,6.21378285359242e-06,5.425048584584147e-06,4.919072125630919e-06,4.375156095193233e-06,5.247413355391473e-06,4.003808044217294e-06,6.312151072052075e-06,4.067877853231039e-06,4.171040018263739e-06,3.5269004001747817e-06,3.523997520460398e-06,3.854980150208576e-06,4.37829385191435e-06,4.180353244009893e-06
mcMSE-af8-CGSENSE,6,22.84171131638304,21.897364087032397,21.62186758813325,21.975108965920995,22.22976734963268,22.576463414218374,21.546343584458732,22.37934679844145,20.21482140000488,21.892893210489078,21.490105934543738,21.929696571834043,21.72023290554141,21.047164335696642,20.2368888482384,20.298039577452517,0.7402776036580925,0.7314893658395689,0.729959417058229,0.7413496506502552,0.7533338237787038,0.7646222491245073,0.7359539072637227,0.7773349989921967,0.6991088358550636,0.7617484580641967,0.7346914974569496,0.7597324159637396,0.7391457887180146,0.7260738214269031,0.7009379287508382,0.7187002733442877,5.318546755006537e-06,6.252214916457888e-06,6.27970712230308e-06,5.49326250620652e-06,4.9368213694833685e-06,4.30733689427143e-06,5.174092621018644e-06,4.059508682985324e-06,6.286616553552449e-06,4.011937562609091e-06,4.158639058005065e-06,3.584191290428862e-06,3.5426169233687688e-06,3.8886855691089295e-06,4.482771146285813e-06,4.190896106592845e-06
mcMSE-af8-CGSENSE,7,23.071569048830753,21.951340223739223,21.69840760467686,21.99559643355847,22.1484840971208,22.606379257538855,21.51414276625435,22.35127308013217,20.24013742079446,21.88957808729132,21.441279378136834,21.9088961112072,21.671908311365307,21.04752902882067,20.19499457029285,20.319046451635963,0.742446093962312,0.7366147667809276,0.7375631728600879,0.7503605630159155,0.7543337108624955,0.7633058986233855,0.7386775064756002,0.7817302782599475,0.707870349512916,0.762372495426238,0.7376075207401479,0.7622876223188433,0.7441709138043294,0.7333538102094932,0.7040704213738626,0.7230715283231901,5.044373210694175e-06,6.17499063082505e-06,6.1700029618805274e-06,5.4674096645612735e-06,5.030089596402831e-06,4.27776831202209e-06,5.2125992624496575e-06,4.085834916622844e-06,6.25007669441402e-06,4.015000740764663e-06,4.205657660349971e-06,3.6013987028127303e-06,3.58225634045084e-06,3.888359515258344e-06,4.5262240746524185e-06,4.170673491898924e-06
mcMSE-af8-CGSENSE,8,23.16948470454648,21.99808274169939,21.7818256760437,22.040494379936884,22.187421895043123,22.671348727268818,21.62909589088435,22.253064077405014,20.30486098049538,21.982966686524176,21.55312603507952,21.866581491412646,21.819470900170757,21.13316755761263,20.341297841792585,20.385353737051926,0.7461768326224908,0.7420642119119837,0.7478743138813198,0.7573802780393658,0.76127459977497,0.7719499264023073,0.7499727317279656,0.7859805908063492,0.7193101577571895,0.7715437033002207,0.7440475103293178,0.7598454426245119,0.7462021547682539,0.7419230213845842,0.7117728498247148,0.7317493402176732,4.931916009809356e-06,6.10888673691079e-06,6.05262175668031e-06,5.411177880887408e-06,4.9851932999445125e-06,4.21425011154497e-06,5.076436991657829e-06,4.179282768745907e-06,6.157621555757942e-06,3.929585545847658e-06,4.09872973250458e-06,3.636660039774142e-06,3.4625845728442073e-06,3.812435579675366e-06,4.376285687612835e-06,4.1074799810303375e-06
mcMSE-af8-CGSENSE,9,23.33543874424776,22.10090367056964,21.897106596895675,22.12548020133239,22.268095502472466,22.804613525393457,21.639588086443954,22.262891008567326,20.340369350625945,21.923572620644126,21.60972534411708,21.880132058858095,21.96006405020801,21.18873714037598,20.4014495438803,20.39434592987419,0.7494830182494246,0.7431769477313247,0.7502121854071193,0.7616519927375245,0.7652300993436671,0.7717855238545034,0.7490761721837365,0.7857478789852788,0.7180194695728126,0.7662914450184927,0.7482376439422104,0.759875839107301,0.7486974332233516,0.7379058010721077,0.7129540404163741,0.7299724312168783,4.747011189465411e-06,5.965954642306315e-06,5.894072728551691e-06,5.306317689246498e-06,4.8934434744296595e-06,4.086898115929216e-06,5.064187462267e-06,4.169836756773293e-06,6.107481567596551e-06,3.9836959331296384e-06,4.045659352414077e-06,3.625330464274157e-06,3.3522860576340463e-06,3.7639647416654043e-06,4.316089871281292e-06,4.098984391021077e-06
