projects,slice,nrmse-rec-t1-all,nrmse-rec-t1-under 1000 msec
mcVFA-af12-simple-CGSENSE,0,0.14792402,0.07062102
mcVFA-af12-simple-CGSENSE,1,0.14535925,0.06754811
mcVFA-af12-simple-CGSENSE,2,0.14764011,0.06482624
mcVFA-af12-simple-CGSENSE,3,0.16594703,0.06508601
mcVFA-af12-simple-CGSENSE,4,0.14204603,0.0655368
mcVFA-af12-simple-CGSENSE,5,0.14768533,0.066651314
mcVFA-af12-simple-CGSENSE,6,0.15340689,0.06288641
mcVFA-af12-simple-CGSENSE,7,0.14664854,0.062466998
mcVFA-af12-simple-CGSENSE,8,0.14743567,0.066910304
mcVFA-af12-simple-CGSENSE,9,0.15179537,0.0692393
mcVFA-af12-simple-CGSENSE,10,0.15340634,0.0667117
mcVFA-af12-simple-CGSENSE,11,0.14569108,0.066776365
mcVFA-af12-simple-CGSENSE,12,0.14592646,0.06899768
mcVFA-af12-simple-CGSENSE,13,0.1530217,0.06832821
mcVFA-af12-simple-CGSENSE,14,0.14572068,0.06779592
mcVFA-af12-simple-CGSENSE,15,0.1416495,0.071224704
mcVFA-af12-simple-CGSENSE,16,0.14475137,0.0707904
mcVFA-af12-simple-CGSENSE,17,0.14376996,0.06899896
mcVFA-af12-simple-CGSENSE,18,0.14001699,0.066190384
mcVFA-af12-simple-CGSENSE,19,0.1368111,0.06550245
mcVFA-af12-simple-CGSENSE,20,0.13521689,0.066510014
mcVFA-af12-simple-CGSENSE,21,0.13194455,0.06802929
mcVFA-af12-simple-CGSENSE,22,0.13019946,0.06465199
mcVFA-af12-simple-CGSENSE,23,0.12507775,0.06442574
mcVFA-af12-simple-CGSENSE,24,0.12810577,0.06656498
mcVFA-af12-simple-CGSENSE,25,0.1328729,0.069269925
mcVFA-af12-simple-CGSENSE,26,0.2228218,0.074281536
mcVFA-af12-simple-CGSENSE,27,0.13776413,0.07755255
mcVFA-af12-simple-CGSENSE,28,0.14752804,0.07588895
mcVFA-af12-simple-CGSENSE,29,0.14092332,0.078162126
mcVFA-af12-simple-CGSENSE,30,0.1505818,0.08258933
mcVFA-af12-simple-CGSENSE,31,0.15102336,0.08383701
mcVFA-af12-simple-CGSENSE,32,0.17238522,0.087132454
mcVFA-af12-simple-CGSENSE,33,0.183832,0.08670914
mcVFA-af12-simple-CGSENSE,34,0.18040891,0.08802504
mcVFA-af12-simple-CGSENSE,35,0.17728302,0.085200705
mcVFA-af12-simple-CGSENSE,36,0.1734191,0.08237966
mcVFA-af12-simple-CGSENSE,37,0.17275766,0.07826427
mcVFA-af12-simple-CGSENSE,38,0.16728404,0.073979914
mcVFA-af12-simple-CGSENSE,39,0.1649261,0.07649188
mcVFA-af12-simple-CGSENSE,40,0.16868392,0.07797246
mcVFA-af12-simple-CGSENSE,41,0.18508662,0.0809793
mcVFA-af12-simple-CGSENSE,42,0.17519787,0.08471454
mcVFA-af12-simple-CGSENSE,43,0.1684147,0.084418096
